rang,titre,sous_titre,auteurs,editeur,collection,isbn,format,prix,date,url_livre,url_couverture,score_titre,confiance_titre,justif_titre,score_description,confiance_description,source_incomplete,justif_description,ecart_titre_description,source_notation
32,Générations IA : L'intelligence artificielle et nous,,"Luc Truntzler, Thomas Rajeau",Dunod,Dunod Graphic,9782100880911,Grand format,20.00 €,22 Octobre 2025,https://www.librel.be/livre/9782100880911-generations-ia-l-intelligence-artificielle-et-nous-luc-truntzler-thomas-rajeau/,https://images.epagine.fr/911/9782100880911_1_m.jpg,0,3,Neutre.,1,3,non,"Débat familial pluraliste, vise la sérénité et l'esprit critique.",-1,calibration_manuelle
33,Ni dieu ni IA : Une philosophie sceptique de l'intelligence artificielle,,Mathieu Corteel,La découverte,,9782348084614,Grand format,22.00 €,3 Avril 2025,https://www.librel.be/livre/9782348084614-ni-dieu-ni-ia-une-philosophie-sceptique-de-l-intelligence-artificielle-mathieu-corteel/,https://images.epagine.fr/614/9782348084614_1_m.jpg,3,3,"Écho à « ni dieu ni maître » : défi/scepticisme, métaphore modérée.",5,3,non,« Expropriation et exploitation de notre intelligence collective » : thèse nommée.,-2,calibration_manuelle
34,L'intelligence artificielle,,"Alex Frith, Victoria Williams, Beatrix Hatcher, Pascal Varejka",Usborne,Découvrons Ensemble,9781836062653,Grand format,12.95 €,28 Mai 2025,https://www.librel.be/livre/9781836062653-l-intelligence-artificielle-alex-frith-victoria-williams-beatrix-hatcher/,https://images.epagine.fr/653/9781836062653_1_m.jpg,0,3,Neutre.,1,3,non,« Risques et opportunités » explicitement équilibrés.,-1,calibration_manuelle
35,Les robots : De l'automate à l'intelligence artificielle,,"Marine Breuil-Salles, Sasha Idelson, Mathieu Ferret, Bruno Wennagel, Nuno Alves Rodrigues",Quelle Histoire,,9782371049598,Grand format,5.00 €,7 Février 2024,https://www.librel.be/livre/9782371049598-les-robots-de-l-automate-a-l-intelligence-artificielle-marine-breuil-salles-sasha-idelson-mathieu-ferret-bruno-wennagel-nuno-alves-rodrigues/,https://images.epagine.fr/598/9782371049598_1_m.jpg,0,3,Neutre.,0,3,non,"Historique positif, neutre.",0,calibration_manuelle
36,L'Intelligence artificielle pour les nuls en 50 notions clés,,Thomas Solignac,Pour les nuls,,9782412106181,Grand format,9.95 €,8 Janvier 2026,https://www.librel.be/livre/9782412106181-l-intelligence-artificielle-pour-les-nuls-en-50-notions-cles-2e-edition-thomas-solignac/,https://images.epagine.fr/181/9782412106181_1_m.jpg,0,3,Neutre.,0,3,non,"« Rester conscient et éclairé » : prudence mineure, pas de menace.",0,calibration_manuelle
37,"Origines : Une histoire de la conscience ; De Lucy à l'intelligence artificielle, en passant par le Tyrannosaure rex & Léonard de Vinci",,Emeric Lebreton,Hermann,,9791037046352,Grand format,23.10 €,25 Mars 2026,https://www.librel.be/livre/9791037046352-origines-une-histoire-de-la-conscience-de-lucy-a-l-intelligence-artificielle-en-passant-par-le-tyrannosaure-rex-leonard-de-vinci-emeric-lebreton/,https://images.epagine.fr/352/9791037046352_1_m.jpg,0,3,"Neutre, voyage scientifique.",0,3,non,"L'IA à peine mentionnée, voyage scientifique neutre.",0,calibration_manuelle
38,L'intelligence artificielle ou l'enjeu du siècle ; anatomie d'un antihumanisme radical,,Eric Sadin,L'Échappée,,9782373090918,Grand format,11.00 €,6 Mai 2021,https://www.librel.be/livre/9782373090918-l-intelligence-artificielle-ou-l-enjeu-du-siecle-anatomie-d-un-antihumanisme-radical-eric-sadin/,https://images.epagine.fr/918/9782373090918_1_m.jpg,5,3,"« Antihumanisme radical » : maximal, explicite.",5,3,non,« Éradication » des fondements humains : thèse totale.,0,calibration_manuelle
39,Totalitarisme numérique en cours de chargement... L'humanité aux risques de l'intelligence artificielle,,Ariane Bilheran,Guy Trédaniel Éditeur,,9782813235701,Grand format,19.90 €,26 Mars 2026,https://www.librel.be/livre/9782813235701-totalitarisme-numerique-en-cours-de-chargement-l-humanite-aux-risques-de-l-intelligence-artificielle-ariane-bilheran/,https://images.epagine.fr/701/9782813235701_1_m.jpg,5,3,"« Totalitarisme numérique » : maximal, explicite.",5,3,non,"Guerre contre l'humanité, désastres : thèse totale.",0,calibration_manuelle
40,Intelligence artificielle générative pour les nuls,,Yasmina Salmandjee,Pour les nuls,Informatique,9782412107294,Grand format,22.95 €,30 Avril 2026,https://www.librel.be/livre/9782412107294-intelligence-artificielle-generative-pour-les-nuls-3e-edition-yasmina-salmandjee/,https://images.epagine.fr/294/9782412107294_1_m.jpg,0,3,Neutre.,0,3,non,"Enthousiaste, entièrement positif.",0,calibration_manuelle
41,Mercator : Tout le marketing d'aujourd'hui à l'ère de l'intelligence artificielle,,"Julien Lévy, Arnaud de Baynast, Alice Wu",Dunod,Livres En Or,9782100890859,Grand format,58.30 €,2 Septembre 2026,https://www.librel.be/livre/9782100890859-mercator-tout-le-marketing-d-aujourd-hui-a-l-ere-de-l-intelligence-artificielle-14e-edition-julien-levy-arnaud-de-baynast-alice-wu/,https://images.epagine.fr/859/9782100890859_1_m.jpg,0,3,"Neutre, professionnel.",0,3,non,"Entièrement pratique, aucun risque.",0,calibration_manuelle
42,L'intelligence artificielle pour les débutants,,"Rachel Firth, Rose Hall, Hylton Warburton, Collectif",Usborne,,9781836062486,Grand format,13.95 €,11 Septembre 2025,https://www.librel.be/livre/9781836062486-l-intelligence-artificielle-pour-les-debutants-rachel-firth-rose-hall-hylton-warburton/,https://images.epagine.fr/486/9781836062486_1_m.jpg,0,3,Neutre.,2,3,non,Question du contrôle du monde posée mais en format pédagogique ouvert.,-2,calibration_manuelle
43,ABC de l'intelligence artificielle,,Chris Ferrie,Éditions Place des Victoires,Baby Sciences,9782809920932,Grand format,9.95 €,30 Avril 2026,https://www.librel.be/livre/9782809920932-abc-de-l-intelligence-artificielle-chris-ferrie/,https://images.epagine.fr/932/9782809920932_1_m.jpg,0,3,"Neutre, enfants.",0,3,non,"Entièrement positif, enfants.",0,calibration_manuelle
44,La fin de l'individu ; voyage d'un philosophe au pays de l'intelligence artificielle,,Gaspard Koenig,Alpha,Essais,9782383881254,Grand format,11.00 €,16 Octobre 2024,https://www.librel.be/livre/9782383881254-la-fin-de-l-individu-voyage-d-un-philosophe-au-pays-de-l-intelligence-artificielle-gaspard-koenig/,https://images.epagine.fr/254/9782383881254_1_m.jpg,5,3,"« La fin de l'individu » : perte/fin explicite, frontal.",4,3,non,Rejette la menace sur l'emploi mais développe une vraie thèse sur l'érosion de l'autonomie.,1,calibration_manuelle
45,Turing à la plage ; l'intelligence artificielle dans un transat,,"Rachid Guerraoui, Nguyên Hoang Lê",Dunod,À La Plage,9782100795550,Grand format,16.60 €,10 Juin 2020,https://www.librel.be/livre/9782100795550-turing-a-la-plage-l-intelligence-artificielle-dans-un-transat-rachid-guerraoui-nguyen-hoang-le/,https://images.epagine.fr/550/9782100795550_1_m.jpg,0,3,"Imagerie détendue (plage, transat), aucun mot de menace.",1,3,non,"« Dominés par des algorithmes ? » posé, mais ton léger, décontracté.",-1,calibration_manuelle
46,Rester humain : Carnet de route d'un chef d'entreprise face à l'intelligence artificielle,,Nourdine Bihmane,Les petits matins,,9782363834928,Grand format,22.00 €,7 Mai 2026,https://www.librel.be/livre/9782363834928-rester-humain-carnet-de-route-d-un-chef-d-entreprise-face-a-l-intelligence-artificielle-nourdine-bihmane/,https://images.epagine.fr/928/9782363834928_1_m.jpg,2,3,"« Rester humain » évoque un enjeu, formulé positivement.",2,3,non,« Mal gouvernée » mais cadre professionnel constructif dominant.,0,calibration_manuelle
47,"Réinventer l'humain à l'heure de l'intelligence artificielle : Alchimie, conscience et réenchantement du monde",,Ferial Furon,Guy Trédaniel Éditeur,,9782813236074,Grand format,21.90 €,26 Mars 2026,https://www.librel.be/livre/9782813236074-reinventer-l-humain-a-l-heure-de-l-intelligence-artificielle-alchimie-conscience-et-reenchantement-du-monde-ferial-furon/,https://images.epagine.fr/074/9782813236074_1_m.jpg,1,3,"« Réinventer », « réenchantement » : positif/constructif.",2,3,non,"Registre ésotérique, mais orienté vers un potentiel positif.",-1,calibration_manuelle
48,"Apprivoiser l'IA en famille : Infos, conseils et activités pour aider vos enfants et vos ados à grandir avec l'intelligence artificielle",,"Sébastien Seguin, Axelle Desaint",De Boeck Supérieur,,9782807373044,Grand format,17.95 €,5 Février 2026,https://www.librel.be/livre/9782807373044-apprivoiser-l-ia-en-famille-infos-conseils-et-activites-pour-aider-vos-enfants-et-vos-ados-a-grandir-avec-l-intelligence-artificielle-sebastien-seguin/,https://images.epagine.fr/044/9782807373044_1_m.jpg,0,3,« Apprivoiser » : réassurant.,1,3,non,"Pratique, limites mentionnées de façon constructive.",-1,calibration_manuelle
49,"L'éthique à l'épreuve des technosciences : Santé, environnement, intelligence artificielle",,Ali Benmakhlouf,PUF,,9782130890577,Grand format,26.00 €,26 Mars 2026,https://www.librel.be/livre/9782130890577-l-ethique-a-l-epreuve-des-technosciences-sante-environnement-intelligence-artificielle-ali-benmakhlouf/,https://images.epagine.fr/577/9782130890577_1_m.jpg,1,3,"« À l'épreuve » suggère une tension, sans mot de menace direct.",2,3,non,"Équilibre « vivre mieux »/« pire » revendiqué, registre académique mesuré.",-1,calibration_manuelle
51,10 choses que vous aimeriez savoir sur : L'intelligence artificielle : Les principes fondamentaux de l'IA en un clin d'oeil,,"Tim Rocktäschel, Antoine Derouin",Éditions Quanto,10 Choses Que Vous Aimeriez Savoir Sur,9782889156863,Grand format,14.90 €,3 Juillet 2025,https://www.librel.be/livre/9782889156863-10-choses-que-vous-aimeriez-savoir-sur-l-intelligence-artificielle-les-principes-fondamentaux-de-l-ia-en-un-clin-d-oeil-tim-rocktaschel/,https://images.epagine.fr/863/9782889156863_1_m.jpg,0,3,"Pédagogique, « principes fondamentaux » : neutre.",0,3,non,"Présentation pédagogique des fondamentaux de l'IA, aucune orientation négative.",0,agent
52,Le droit de l'intelligence artificielle,,Lucie Cluzel-Métayer,Dalloz,À Savoir,9782247234615,Poche,4.00 €,21 Août 2025,https://www.librel.be/livre/9782247234615-le-droit-de-l-intelligence-artificielle-lucie-cluzel-metayer/,https://images.epagine.fr/615/9782247234615_1_m.jpg,0,3,"Neutre, juridique descriptif.",2,2,non,"Risques cités parmi potentialités et cas d'usage, propos globalement équilibré et informatif.",-2,agent
53,L'IA sera ce que tu en feras : Les 10 règles d'or de l'intelligence artificielle,,"Jean-Philippe Desbiolles, Laurent Prud'hon, Damien Gromier, Emma Sezen",Dunod,,9782100890880,Grand format,18.00 €,22 Avril 2026,https://www.librel.be/livre/9782100890880-l-ia-sera-ce-que-tu-en-feras-les-10-regles-d-or-de-l-intelligence-artificielle-jean-philippe-desbiolles-laurent-prud-hon/,https://images.epagine.fr/880/9782100890880_1_m.jpg,0,3,"« Règles d'or » : responsabilisant, aucune menace.",0,3,non,"Rejette explicitement mythes et prophéties alarmistes, message rassurant sur le contrôle humain.",0,agent
54,Ce que l'intelligence artificielle ne peut pas faire,,Jacques Luzi,La Lenteur,,9791095432425,Grand format,14.00 €,21 Juin 2024,https://www.librel.be/livre/9791095432425-ce-que-l-intelligence-artificielle-ne-peut-pas-faire-jacques-luzi/,https://images.epagine.fr/425/9791095432425_1_m.jpg,0,3,"Constat de limite, factuel, non dramatique.",4,2,non,"Nuisances « certaines » développées (armements, écologie, travail) ; conclut qu'aucun monde meilleur n'en sortira.",-4,agent
55,Manuel de résistance à l'emprise technologique : Comment ne pas se laisser manipuler à l'ère de l'intelligence artificielle,,Bruno Giussani,Editions de L'Observatoire,,9782382849415,Grand format,19.00 €,12 Février 2026,https://www.librel.be/livre/9782382849415-manuel-de-resistance-a-l-emprise-technologique-comment-ne-pas-se-laisser-manipuler-a-l-ere-de-l-intelligence-artificielle-bruno-giussani/,https://images.epagine.fr/415/9782382849415_1_m.jpg,4,3,"« Emprise », « manipuler » : contrôle explicite, quasi seul angle.",5,3,non,"Menace centrale sur nos esprits, contrôle cognitif développé et argumenté comme thèse.",-1,agent
